food_id,Name,Type,Cuisine,Veg,Taste,Ingedient,Calories,Price,Time_used,shop
1,"Rice with crispy pork","Main Couse",Thai,"Non Vegetarian",Spicy,"Crispy Pork,rice",490.00,35,5,"Rice topping shop"
2,"Rice with crispy pork and egg","Main Couse",Thai,"Non Vegetarian",Spicy,"Crispy Pork,rice,egg",568.00,40,5,"Rice topping shop"
3,"Rice with BarBQ red pork","Main Couse",Thai,"Non Vegetarian",Spicy,"red pork,rice",541.00,35,5,"Rice topping shop"
4,"steamed Rice with roasted chicken","Main Couse",Thai,"Non Vegetarian",Spicy,"ckicken,rice",251.00,35,5,"Rice topping shop"
5,"steamed Rice with  chicken soup","Main Couse",Thai,"Non Vegetarian",Spicy,"chicken,rice",597.00,35,5,"Rice topping shop"
6,"steamed Rice with  chicken soup and innards","Main Couse",Thai,"Non Vegetarian",Spicy,"neck,gizzard,heart,liver of a chicken,rice",597.00,40,5,"Rice topping shop"
7,"Pizza Margherita","Main Couse",Italian,Vegetarian,"Less Spicy","Tomato,Cheese,Bread",204.00,65,0,Western
8,BakedPasta,"Main Couse",Italian,Vegetarian,"Less Spicy","cream cheese or tomato cheese",403.00,65,0,Western
9,"Pizza Hawaiian","Main Couse",Italian,"Non Vegetarian","Medium spicy","chiken ham,sausage,bell pepper,pineapple,onion,olive,tomato,cheese",220.00,65,0,Western
10,"Pizza vegetable","Main Couse",Italian,Vegetarian,"Less Spicy","tomato and cheese",242.00,65,0,Western
11,"Spaghetti ","Main Couse",Italian,"Non Vegetarian","Medium spicy","cabonara sauce or beef sauce or chicken sauce",329.00,45,0,Western
12,"Spaghetti ","Main Couse",Italian,Vegetarian,"Less Spicy","tomato sauce",325.00,45,0,Western
13,Lasagna,"Main Couse",Italian,Vegetarian,"Less Spicy","Spinach and mushroom",334.00,50,0,Western
14,"Garlic Bread",Starter,"South American",Vegetarian,"Less Spicy","butter,garlic powder,parsely",94.00,15,0,Western
15,"Baked Soft roll garlic",Starter,"South American",Vegetarian,"Less Spicy",NULL,84.00,20,0,Western
16,"Soft roll",Starter,"South American",Vegetarian,"Less Spicy","yeast,milk,egg,vegitable oil,sugar,salt,butter,flour",78.00,10,0,Western
17,"Caramel Custard",Dessert,Western,Vegetarian,"Less Spicy","vannila,sugar,milk,egg",70.00,30,0,Western
18,FreshFruit,Dessert,Western,Vegetarian,"Less Spicy",NULL,70.00,30,0,Western
19,"Grilled chicken mushroom",Starter,Western,"Non Vegetarian",Spicy,"fried potato,butter vegitable",330.00,65,0,Western
20,"Grilled Pork loin Mushroom ",Starter,Western,"Non Vegetarian",Spicy,"fried potato,butter vegitable",346.00,65,0,Western
21,"Grilled Beef striploin mushroom",Starter,Western,"Non Vegetarian",Spicy,"fried potato,butter vegitable",489.00,65,0,Western
22,"vegetable salad",Starter,Western,Vegetarian,"Less Spicy",allvegetables,15.00,30,0,Western
23,"Tuna salad",Starter,Western,"Non Vegetarian","Less Spicy","white meat tuna,celery",140.00,30,0,Western
24,"chicken salad",Starter,Western,"Non Vegetarian",Spicy,chicken,290.00,30,30,Western
25,"papaya salad",Starter,Western,Vegetarian,"Less Spicy",papaya,270.00,30,0,Western
26,"chicken soup",Starter,Western,"Non Vegetarian","Medium spicy",chicken,130.00,30,0,Western
27,"Mushroom soup",Starter,Western,Vegetarian,"Medium spicy",Mushroom,138.00,30,0,Western
28,"Potato cream soup",Starter,Western,"Non Vegetarian","Medium spicy","garlic,celery,potato,chicken granuales",148.00,30,0,Western
29,"tomato cream soup",Starter,Western,"Non Vegetarian","Less Spicy","garlic,celery,tomato,chicken stock",130.00,30,0,Western
30,"Stir-Fried Chicken with Chilli and Hot Basil Leaves ","Main Couse",Thai,"Non Vegetarian","Medium Spicy","Rice,Chicken,Chilli,Basil leaves",554.00,40,10,"Thai "
31,"Stir-Fired Flat Rice Noodels with Pork in Soy Sauce",Noodle,Thai,"Non Vegetarian","Less Spicy","Flat Rice Noodels, Pork, Soy Sauce ",679.00,40,10,"Thai "
32,"Sukiyaki Noodels with Seafood",Noodle,Thai,"Non Vegetarian","Less Spicy","Glass Noodles, Prawn, Squeez, Kale, Soy Sauce, Tapioca flour",330.00,60,10,"Thai "
33,"Stir Fired Rice Noodle with Shrimp in Tamarind Sauce",Noodle,Thai,"Non Vegetarian","Less Spicy","Rice Noodle, Shrimp, Tamarind Sauce, Lemon, Roasted Peanut, Spring Onion",520.00,50,10,"Thai "
34,"Spicy Prawns Soup with Lemongrass and Kaffir Lime Leaves","Main Couse",Thai,"Non Vegetarian",Spicy,"Prawns, Lemongrass, Kaffir Lime Leave, Chilli, Sugar",65.00,50,10,"Thai "
